TRITAR AQUAFISH CONSULT  (TAC),,,,,,,,,,,,,,,,,,,,,,,,,,
*******************************************************************************************************************************************************************************************,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BASE DE DONNEES - HUITRES (Crassostrea gigas) - Lagune de Bizerte - TUNISIE ,,,,,,,,,,,,,,,,,,,,,,,
,,,TABLEAU CALCUL DES  SURVIE ET POIDS UNITAIRE  EN FONCTION DE l'AGE DU COQUILLAGE ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,SURVIE -NBR-POIDS / ETAPE,,,,,CORDRE HUITRE DE (m),,1,,,CORDRE HUITRE DE (m),,3,,
Durée (Mois),MOIS,LIB. ARTICLE,PHASES ,ETAPES,,,NOM COMMERCIAL,COUL/AFFICH,U/KG,Poids/pce (g),MOY g/U,SURVIE,RESTE,POIDS NET,POIDS BRUT,,,POIDS NET,POIDS BRUT,,,,POIDS NET,POIDS BRUT,,
,,,,,,,,,,valeur cible =,"2,73790",%,u,g,g,,,kg,kg,,,,kg,kg,,
,,,,"* FRANCE NAISS / NH-T6 =  5000 à 8000 PCES/KG= 0,125-0,200 g/u",,,,,,,MOURAD,MOURAD,,,"2,0",,MOURAD,MOURAD,"2,0",,,,,"2,0",,
,,,,ETAPES,IMAGE 0,IMAGE 1,,,,,MOY g/U,,,Net (g/u/étape),Brut (g/u/étape),,PCES/M,Net kg/m,Brut kg/m,nbr douz/cde,,PCES/M,Net kg/m,Brut kg/m,nbr douz/cde,
T0,JANV,PRE-GROSS.-NH,PRE-GROSSISSEMENT-NAISS HUITRES,NH+1,,,,1 H,*NH-T6,"0,125-0,200 g","0,16",97%,"1,00","0,16","0,33",,30,"0,005","0,010","2,5",,90,"0,015","0,029","7,5","0,000"
T0+1,FÉVR,PRE-GROSS.-NH,PRE-GROSSISSEMENT-NAISS HUITRES,NH+2,,,,1 H,,,"0,44",97%,"0,97","0,43","0,86",,"29,1","0,013","0,026","2,4",,"87,3","0,039","0,078","7,3","0,000"
T0+2,MARS,PRE-GROSS.-NH,PRE-GROSSISSEMENT-NAISS HUITRES,NH+3,,,,1 H,,,"1,22",97%,"0,94","1,15","2,29",,"28,2","0,034","0,069","2,4",,"84,7","0,103","0,206","7,1","0,000"
T0+3,AVR,GROSS.-H,GROSSISSEMENT-HUITRES,GH+1,,,,1 H,CIMENTAGE NH/CORDE,,"3,34",97%,"0,91","3,04","6,09",,"27,4","0,091","0,183","2,3",,"82,1","0,274","0,548","6,8","0,000"
T0+4,MAI,GROSS.-H,GROSSISSEMENT-HUITRES,GH+2,,,,1 H,,,"9,13",97%,"0,89","8,08","16,17",,"26,6","0,243","0,485","2,2",,"79,7","0,728","1,455","6,6","0,000"
T0+5,JUIN,GROSS.-H,GROSSISSEMENT-HUITRES,GH+3,,,,1 H,,21-29 g,"25,00",97%,"0,86","21,47","42,94",,"25,8","0,644","1,3","2,1",,"77,3","1,9","3,9","6,4","0,000"
T0+6,JUIL,H-COMMERCIALES,HUITRES COMMERCIALES,H5,,,HUITRE N°5,1 H,,30-45 g,"37,5",97%,"0,83","31,24","62,47",,"25,0","0,9","1,9","2,1",,"75,0","2,8","5,6","6,2","0,000"
T0+7,AOÛT,H-COMMERCIALES,HUITRES COMMERCIALES,H4,,,HUITRE N°4,1 H,,46-65 g,"55,5",97%,"0,81","44,84","89,69",,"24,2","1,3","2,7","2,0",,"72,7","4,0","8,1","6,1","0,000"
T0+8,SEPT,H-COMMERCIALES,HUITRES COMMERCIALES,H3,,,HUITRE N°3,1 H,30-oct.,66-85g,"75,5",97%,"0,78","59,17","118,35",,"23,5","1,8","3,6","2,0",,"70,5","5,3","10,7","5,9","0,000"
T0+9,OCT,H-COMMERCIALES,HUITRES COMMERCIALES,H2,,,HUITRE N°2,1 H,"0,970",86-120 g,"103,0",97%,"0,76","78,30","156,61",,"22,8","2,3","4,7","1,9",,"68,4","7,0","14,1","5,7","0,000"
T0+10,NOV,H-COMMERCIALES,HUITRES COMMERCIALES,H1,,,HUITRE N°1,1 H,,121-150 g,"135,5",97%,"0,74","99,92","199,84",,"22,1","3,0","6,0","1,8",,"66,4","9,0","18,0","5,5","0,000"
T0+11,DÉC,H-COMMERCIALES,HUITRES COMMERCIALES,H0,,,HUITRE N°0,1 H,,151-175 g,"163,0",97%,"0,72","116,59","233,19",,"21,5","3,5","7,0","1,8",,"64,4","10,5","21,0","5,4","0,000"
T0+12,JANV,H-COMMERCIALES,HUITRES COMMERCIALES,H00,,,HUITRE N°00,1 H,,176-200 g,"188,0",97%,"0,69","130,44","260,88",,"20,8","3,9","7,8","1,7",,"62,4","11,7","23,5","5,2","0,000"
T0+13,FÉVR,H-COMMERCIALES,HUITRES COMMERCIALES,H000,,,HUITRE N°000,1 H,,201-225 g,"213,0",97%,"0,67","143,35","286,71",,"20,2","4,3","8,6","1,7",,"60,6","12,9","25,8","5,0","0,000"
T0+14,MARS,H-COMMERCIALES,HUITRES COMMERCIALES-Hors Normes,H000+1,,,HUITRE N°000+,1 H,,226-250 g,"238,0",97%,"0,65","155,38","310,75",,"19,6","4,7","9,3","1,6",,"58,8","14,0","28,0","4,9","0,000"
T0+15,AVR,H-COMMERCIALES,HUITRES COMMERCIALES-Hors Normes,H000+2,,,HUITRE N°000+,1 H,,251-275 g,"275,5",97%,"0,63","174,46","348,92",,"19,0","5,2","10,5","1,6",,"57,0","15,7","31,4","4,7","0,000"
T0+16,MAI,H-COMMERCIALES,HUITRES COMMERCIALES-Hors Normes,H000+3,,,HUITRE N°000+,1 H,,276-300 g,"288,0",97%,"0,61","176,91","353,81",,"18,4","5,3","10,6","1,5",,"55,3","15,9","31,8","4,6","0,000"
T0+17,JUIN,H-COMMERCIALES,HUITRES COMMERCIALES-Hors Normes,H000+4,,,HUITRE N°000+,1 H,,301-325 g,"313,0",97%,"0,60","186,49","372,99",,"17,9","5,6","11,2","1,5",,"53,6","16,8","33,6","4,5","0,000"
T0+18,JUILLET,H-COMMERCIALES,HUITRES COMMERCIALES-Hors Normes,H000+5,,,HUITRE N°000+,1 H,,326-350 g,"338,0",97%,"0,58","195,35","390,70",,"17,3","5,9","11,7","1,4",,"52,0","17,6","35,2","4,3","0,000"
T0+19,AOÛT,H-COMMERCIALES,HUITRES COMMERCIALES-Hors Normes,H000+6,,,HUITRE N°000+,1 H,,351-375 g,"363,0",97%,"0,56","203,50","407,00",,"16,8","6,1","12,2","1,4",,"50,5","18,3","36,6","4,2","0,000"
T0+20,SEPTEMBRE,H-COMMERCIALES,HUITRES COMMERCIALES-Hors Normes,H000+7,,,HUITRE N°000+,1 H,,376-400 g,"388,0",97%,"0,54","210,99","421,98",,"16,3","6,3","12,7","1,4",,"48,9","19,0","38,0","4,1","0,000"
,,,,,,,,,,,,,,,,,,,,,,,"0,000","0,000",0,"0,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
lien BD logiciel ASC,,https://municipaliternumerique.com/,,,,,,,,,,,,,,,,,,,,,,,,
