TRITAR AQUAFISH CONSULT  (TAC),,,,,,,,,,,,,,,,,,,,,,
*******************************************************************************************************************************************************************************************,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,BASE DE DONNEES - MOULES (Mytilus galloprovincialis) - Lagune de Bizerte - TUNISIE ,,,,,,,,,,,,,,,,,,,
,,,TABLEAU CALCUL DES  SURVIE ET POIDS UNITAIRES  EN FONCTION DE l'AGE DU COQUILLAGE ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SURVIE -NBR-POIDS / ETAPE CORDE MOULES,,,,,,,,
Durée (Mois),MOIS,LIB. ARTICLE,PHASES ,ETAPES,,,,,NOM COMMERCIAL,COUL/AFFICH,U/KG,Poids/pce (g),U/M,SURVIE,RESTE,POIDS NET,POIDS BRUT,,POIDS NET,POIDS BRUT,,
,,,,,,,,,,,,valeur cible =,"2,73790",%,u,KG/M,KG/M,,KG/2M,KG/2M,,
,,,,,,,,,,,"""IA chatgpt : coiss. Naiss Moule",,U/M,,,,,,,,,
,,,,ETAPES,,,,,,,Galice (Esp),g/mois,MOY U/M,Survie/etape,,Corde (m),BRUT /NET,,Corde (m),BRUT /NET,,
T-1,NOV,PRE-GROSS.-NM,PRE-GROSSISSEMENT-NAISS MOULES,CNM-M-1,IMAGE PROCESS,IMAGE  MBV,Age (Mois),Poids Moye (g/u),,1 M,g/mois,"0,45","0,0",100%,,"1,0","1,8",vérif.,"2,0","1,8",vérif.,
,,,,,,,,,,,Tx croiss/M,"0,9233333333",,,,,,,,,,
,,MOURAD,,MOURAD,,,MOURAD,,,,,MOURAD,MOURAD,MOURAD,,,,,,,,
,,,,Age (mois),,,Age (mois),,,,,PM (g/u),Survie (u/m),,Survie/t0,Net (KG),Brut (KG),,Net (KG),Brut (KG),,"0,057"
T0,DEC,PG NM T0,PRE-GROSSISSEMENT-NAISS MOULES,CNM-M0,,,0,"0,002-0,005",,1 M,2 222,"0,45","1 500,0",90%,100%,"0,7","1,2","0,000","1,4","2,4","0,000","0,034"
T0+1,JANV,PG NM T1,PRE-GROSSISSEMENT-NAISS MOULES,CNM+1,,,1,,,1 M,728,"1,4","1 350,0",90%,90%,"1,9","3,3","0,000","3,7","6,7","0,000",
T0+2,FÉVR,PG NM T2,PRE-GROSSISSEMENT-NAISS MOULES,CNM+2,,,2,,,1 M,435,"2,3","1 215,0",90%,81%,"2,8","5,0","0,000","5,6","10,0","0,000",
T0+3,MARS,PG NM T3,PRE-GROSSISSEMENT-NAISS MOULES,CNM+3,,,3,,,1 M,311,"3,2","1 093,5",90%,73%,"3,5","6,3","0,000","7,0","12,7","0,000",
T0+4,AVR,PG NM T4,PRE-GROSSISSEMENT-NAISS MOULES,CNM+4,,,4,,,1 M,241,"4,1","984,2",90%,66%,"4,1","7,3","0,000","8,2","14,7","0,000",
T0+5,MAI,GROSS.-M1,GROSSISSEMENT-MOULES,GM1 ,,,5,,,1 M,197,"5,1","885,7",90%,59%,"4,5","8,1","0,000","9,0","16,2","0,000",
T0+6,JUIN,GROSS.-M2,GROSSISSEMENT-MOULES,GM2,,,6,,,1 M,167,"6,0","797,2",90%,53%,"4,8","8,6","0,000","9,5","17,2","0,000",
T0+7,JUIL,GROSS.-M3,GROSSISSEMENT-MOULES,GM3,,,7,,,1 M,145,"6,9","717,4",90%,48%,"5,0","8,9","0,000","9,9","17,9","0,000",
