TRITAR AQUAFISH CONSULT  (TAC),,,,,,,,,,,,,,,,
*******************************************************************************************************************************************************************************************,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,IMAGE FILIERE SELON COULEUR CORDES MOULES &  HUITRES,,,,,,,,,,HUITRES,,,HUITRES,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LIGNE/RANG,1,2,3,4,5,6,7,8,9,10,,ETAPES,,,ETAPES,
A0,1 H,2 H,3 H,,,,,,,,,NH+1,1 H,,CNM-M-1,1 M
A1,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,NH+2,1 H,,CNM-M0,1 M
A2,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,NH+3,1 H,,CNM+1,1 M
A3,,,3 L8,4 L8,5 L8,,,,,,,GH+1,1 H,,CNM+2,1 M
A4,,,3 L7,4 L7,5 L7,,,,,,,GH+2,1 H,,CNM+3,1 M
A5,1 H,2 H,3 H,4 H,5 H,,,,,,,GH+3,1 H,,CNM+4,1 M
A6,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,H5,1 H,,GNM1/OSBANE1,1 M
A7,1 H,2 H,3 H,4 H,5 H,6 H,,,,,,H4,1 H,,GNM1/OSBANE2,1 M
A8,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,H3,1 H,,GNM1/OSBANE3,1 M
A9,1 M,2 M,3 M,4 M,5 M,,,,,,,H2,1 H,,GNM1/OSBANE4,1 M
A10,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,H1,1 H,,GNM1/OSBANE5,1 M
A11,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,H0,1 H,,GNM1/OSBANE6,1 M
A12,1 M,,,,5 M,6 M,7 M,8 M,9 M,10 M,,H00,1 H,,GNM1/OSBANE7,1 M
A13,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,H000,1 H,,GNM1/OSBANE8,1 M
A14,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,H000+1,1 H,,GNM1/OSBANE9,1 M
A15,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,H000+2,1 H,,GNM1/OSBANE10,1 M
A16,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,H000+3,1 H,,MS +1,1 M
A17,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,H000+4,1 H,,MS +2,1 M
A18,1 L10,2 L10,3 L10,4 L10,5 L10,,,,,,,H000+5,1 H,,MS +3,1 M
A19,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,H000+6,1 H,,ME+1,1 M
A20,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,H000+7,1 H,,ME+2,1 M
A21,,,,,,,,,,,,,,,ME+3,1 M
A22,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,,,,MR+1,1 M
A23,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,,,,MR+2,1 M
A24,,,,,,,,,,,,,,,MR+3+,1 M
A25,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,,,,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,AUTRE IMAGE FILIERE SELON COULEUR CORDES MOULES &  HUITRES,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,,,,,
,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,,,,,
,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,,,,,
,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,,,,,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,,,,
A1,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,NH+1,,1 H,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,NH+2,,1 H,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,NH+3,,1 H,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,GH+1,,1 H,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,GH+2,,1 H,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,GH+3,,1 H,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,H5,HUITRE N°5,1 H,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,H4,HUITRE N°4,1 H,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,H3,HUITRE N°3,1 H,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,H2,HUITRE N°2,1 H,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,H1,HUITRE N°1,1 H,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,H0,HUITRE N°0,1 H,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,H00,HUITRE N°00,1 H,
,1 H,2 H,3 H,4 H,5 H,6 H,7 H,8 H,9 H,10 H,,,H000,HUITRE N°000,1 H,
,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,,H000+1,HUITRE N°000+,1 H,
,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,,H000+2,HUITRE N°000+,1 H,
,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,,H000+3,HUITRE N°000+,1 H,
,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,,H000+4,HUITRE N°000+,1 H,
,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,,H000+5,HUITRE N°000+,1 H,
,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,,H000+6,HUITRE N°000+,1 H,
,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,,H000+7,HUITRE N°000+,1 H,
,1 M,2 M,3 M,4 M,5 M,6 M,7 M,8 M,9 M,10 M,,,,,,
